"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
"CASP2"	"P42575;P42575-2"	"Caspase-2;Caspase-2 subunit p18;Caspase-2 subunit p13;Caspase-2 subunit p12"	"CASP2"	"CASP2"
"CASP3"	"P42574"	"Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12"	"CASP3"	"CASP3"
"CASP4"	"P49662;P49662-2;P51878-6;P51878-2;P51878;P51878-5"	"Caspase-4;Caspase-4 subunit 1;Caspase-4 subunit 2"	"CASP4"	"CASP4"
"CASP6"	"P55212;P55212-2"	"Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11"	"CASP6"	"CASP6"
"CASP7"	"P55210;P55210-3;P55210-4"	"Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11"	"CASP7"	"CASP7"
"CASP8"	"Q14790-3;Q14790-2;Q14790;Q14790-4;Q14790-9;Q14790-6;Q14790-5;Q14790-8;Q14790-7"	"Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10"	"CASP8"	"CASP8"
"CAST"	"P20810-5;P20810-2;P20810-3"	"Calpastatin"	"CAST"	"CAST"
"CASZ1"	"Q86V15-2;Q86V15"	"Zinc finger protein castor homolog 1"	"CASZ1"	"CASZ1"
"CAT"	"P04040"	"Catalase"	"CAT"	"CAT"
"CAV1"	"Q03135;P56539"	"Caveolin-1"	"CAV1"	"CAV1"
"CAV2"	"P51636-2;P51636"	"Caveolin-2"	"CAV2"	"CAV2"
"CBFB"	"Q13951"	"Core-binding factor subunit beta"	"CBFB"	"CBFB"
"CBL"	"P22681"	"E3 ubiquitin-protein ligase CBL"	"CBL"	"CBL"
"CBLC"	"Q9ULV8-2;Q9ULV8"	"E3 ubiquitin-protein ligase CBL-C"	"CBLC"	"CBLC"
"CBLL1"	"Q75N03-2;Q75N03"	"E3 ubiquitin-protein ligase Hakai"	"CBLL1"	"CBLL1"
"CBR1"	"P16152;P16152-2"	"Carbonyl reductase [NADPH] 1"	"CBR1"	"CBR1"
"CBR3"	"O75828"	"Carbonyl reductase [NADPH] 3"	"CBR3"	"CBR3"
"CBR4"	"Q8N4T8;Q8N4T8-2"	"Carbonyl reductase family member 4"	"CBR4"	"CBR4"
"CBWD1;CBWD3;CBWD2;CBWD5;CBWD6;CBWD7"	"Q9BRT8;Q9BRT8-2;Q5JTY5-2;Q9BRT8-3;Q8IUF1;Q5RIA9;Q5JTY5;Q4V339;Q5RIA9-3;A6NM15;Q9BRT8-4"	"COBW domain-containing protein 1;COBW domain-containing protein 3;COBW domain-containing protein 2;COBW domain-containing protein 5;COBW domain-containing protein 6;Putative COBW domain-containing protein 7"	"CBWD1;CBWD3;CBWD2;CBWD5;CBWD6;CBWD7"	"CBWD1;CBWD3;CBWD2;CBWD5;CBWD6;CBWD7"
"CBX1"	"P83916"	"Chromobox protein homolog 1"	"CBX1"	"CBX1"
"CBX2"	"Q14781"	"Chromobox protein homolog 2"	"CBX2"	"CBX2"
"CBX3"	"Q13185"	"Chromobox protein homolog 3"	"CBX3"	"CBX3"
"CBX5"	"P45973"	"Chromobox protein homolog 5"	"CBX5"	"CBX5"
"CBX8"	"Q9HC52"	"Chromobox protein homolog 8"	"CBX8"	"CBX8"
"CC2D1A"	"Q6P1N0;Q6P1N0-2"	"Coiled-coil and C2 domain-containing protein 1A"	"CC2D1A"	"CC2D1A"
"CC2D1B"	"Q5T0F9-2;Q5T0F9-3;Q5T0F9;Q5T0F9-4"	"Coiled-coil and C2 domain-containing protein 1B"	"CC2D1B"	"CC2D1B"
"CCAR1"	"Q8IX12-2;Q8IX12"	"Cell division cycle and apoptosis regulator protein 1"	"CCAR1"	"CCAR1"
"CCAR2"	"Q8N163-2;Q8N163"	"Cell cycle and apoptosis regulator protein 2"	"CCAR2"	"CCAR2"
"CCBL1"	"Q16773-2;Q16773;Q16773-3"	"Kynurenine--oxoglutarate transaminase 1"	"CCBL1"	"CCBL1"
"CCBL2"	"Q6YP21;Q6YP21-3;Q6YP21-2"	"Kynurenine--oxoglutarate transaminase 3"	"CCBL2"	"CCBL2"
"CCDC101"	"Q96ES7"	"SAGA-associated factor 29 homolog"	"CCDC101"	"CCDC101"
"CCDC102A"	"Q96A19"	"Coiled-coil domain-containing protein 102A"	"CCDC102A"	"CCDC102A"
"CCDC115"	"Q96NT0;Q96NT0-2"	"Coiled-coil domain-containing protein 115"	"CCDC115"	"CCDC115"
"CCDC12"	"Q8WUD4"	"Coiled-coil domain-containing protein 12"	"CCDC12"	"CCDC12"
"CCDC124"	"Q96CT7"	"Coiled-coil domain-containing protein 124"	"CCDC124"	"CCDC124"
"CCDC127"	"Q96BQ5"	"Coiled-coil domain-containing protein 127"	"CCDC127"	"CCDC127"
"CCDC132"	"Q96JG6;Q96JG6-3;Q96JG6-2"	"Coiled-coil domain-containing protein 132"	"CCDC132"	"CCDC132"
"CCDC134"	"Q9H6E4"	"Coiled-coil domain-containing protein 134"	"CCDC134"	"CCDC134"
"CCDC186"	"Q7Z3E2"	"Coiled-coil domain-containing protein 186"	"CCDC186"	"CCDC186"
"CCDC22"	"O60826"	"Coiled-coil domain-containing protein 22"	"CCDC22"	"CCDC22"
"CCDC25"	"Q86WR0;Q86WR0-2"	"Coiled-coil domain-containing protein 25"	"CCDC25"	"CCDC25"
"CCDC28A"	"Q8IWP9"	"Coiled-coil domain-containing protein 28A"	"CCDC28A"	"CCDC28A"
"CCDC43"	"Q96MW1;Q96MW1-2"	"Coiled-coil domain-containing protein 43"	"CCDC43"	"CCDC43"
"CCDC47"	"Q96A33;Q96A33-2"	"Coiled-coil domain-containing protein 47"	"CCDC47"	"CCDC47"
"CCDC50"	"Q8IVM0;Q8IVM0-2"	"Coiled-coil domain-containing protein 50"	"CCDC50"	"CCDC50"
"CCDC51"	"Q96ER9;Q96ER9-2"	"Coiled-coil domain-containing protein 51"	"CCDC51"	"CCDC51"
"CCDC53"	"Q9Y3C0"	"WASH complex subunit CCDC53"	"CCDC53"	"CCDC53"
"CCDC58"	"Q4VC31"	"Coiled-coil domain-containing protein 58"	"CCDC58"	"CCDC58"
"CCDC6"	"Q16204"	"Coiled-coil domain-containing protein 6"	"CCDC6"	"CCDC6"
"CCDC64B"	"A1A5D9;A1A5D9-2"	"Bicaudal D-related protein 2"	"CCDC64B"	"CCDC64B"
"CCDC8"	"Q9H0W5"	"Coiled-coil domain-containing protein 8"	"CCDC8"	"CCDC8"
"CCDC86"	"Q9H6F5;Q9H6F5-2"	"Coiled-coil domain-containing protein 86"	"CCDC86"	"CCDC86"
"CCDC88C"	"Q9P219;Q9P219-3;Q9P219-2"	"Protein Daple"	"CCDC88C"	"CCDC88C"
"CCDC9"	"Q9Y3X0"	"Coiled-coil domain-containing protein 9"	"CCDC9"	"CCDC9"
"CCDC90B"	"Q9GZT6-2;Q9GZT6;Q9GZT6-3"	"Coiled-coil domain-containing protein 90B, mitochondrial"	"CCDC90B"	"CCDC90B"
"CCDC91"	"Q7Z6B0-3;Q7Z6B0-2;Q7Z6B0"	"Coiled-coil domain-containing protein 91"	"CCDC91"	"CCDC91"
"CCDC93"	"Q567U6"	"Coiled-coil domain-containing protein 93"	"CCDC93"	"CCDC93"
"CCDC94"	"Q9BW85"	"Coiled-coil domain-containing protein 94"	"CCDC94"	"CCDC94"
"CCDC97"	"Q96F63"	"Coiled-coil domain-containing protein 97"	"CCDC97"	"CCDC97"
"CCM2"	"Q9BSQ5-3;Q9BSQ5-4;Q9BSQ5;Q9BSQ5-2"	"Cerebral cavernous malformations 2 protein"	"CCM2"	"CCM2"
"CCM2L"	"Q9NUG4-3;Q9NUG4-2;Q9NUG4"	"Cerebral cavernous malformations 2 protein-like"	"CCM2L"	"CCM2L"
"CCNK"	"O75909;O75909-4;O75909-2;O75909-1"	"Cyclin-K"	"CCNK"	"CCNK"
"CCNL1"	"Q9UK58;Q9UK58-4;Q9UK58-5"	"Cyclin-L1"	"CCNL1"	"CCNL1"
"CCNL2"	"Q96S94;Q96S94-3;Q96S94-2"	"Cyclin-L2"	"CCNL2"	"CCNL2"
"CCNT1"	"O60563;O60563-2"	"Cyclin-T1"	"CCNT1"	"CCNT1"
"CCNY"	"Q8ND76-3;Q8ND76-2;Q8ND76"	"Cyclin-Y"	"CCNY"	"CCNY"
"CCS"	"O14618"	"Copper chaperone for superoxide dismutase"	"CCS"	"CCS"
"CCSMST1"	"Q4G0I0"	"Protein CCSMST1"	"CCSMST1"	"CCSMST1"
"CCT2"	"P78371;P78371-2"	"T-complex protein 1 subunit beta"	"CCT2"	"CCT2"
"CCT3"	"P49368;P49368-2"	"T-complex protein 1 subunit gamma"	"CCT3"	"CCT3"
"CCT4"	"P50991;P50991-2"	"T-complex protein 1 subunit delta"	"CCT4"	"CCT4"
"CCT5"	"P48643;P48643-2"	"T-complex protein 1 subunit epsilon"	"CCT5"	"CCT5"
"CCT6A"	"P40227;P40227-2;Q92526;Q92526-2;Q92526-3"	"T-complex protein 1 subunit zeta"	"CCT6A"	"CCT6A"
"CCT7"	"Q99832;Q99832-3;Q99832-4;Q99832-2"	"T-complex protein 1 subunit eta"	"CCT7"	"CCT7"
"CCT8"	"P50990;P50990-2;P50990-3"	"T-complex protein 1 subunit theta"	"CCT8"	"CCT8"
"CCZ1;CCZ1B"	"P86791;P86790"	"Vacuolar fusion protein CCZ1 homolog;Vacuolar fusion protein CCZ1 homolog B"	"CCZ1;CCZ1B"	"CCZ1;CCZ1B"
"CD14"	"P08571"	"Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form"	"CD14"	"CD14"
"CD151"	"P48509"	"CD151 antigen"	"CD151"	"CD151"
"CD200"	"P41217-2;P41217;P41217-3"	"OX-2 membrane glycoprotein"	"CD200"	"CD200"
"CD276"	"Q5ZPR3-3;Q5ZPR3-4;Q5ZPR3;Q5ZPR3-2"	"CD276 antigen"	"CD276"	"CD276"
"CD2AP"	"Q9Y5K6"	"CD2-associated protein"	"CD2AP"	"CD2AP"
"CD2BP2"	"O95400"	"CD2 antigen cytoplasmic tail-binding protein 2"	"CD2BP2"	"CD2BP2"
"CD36"	"P16671;P16671-4;P16671-3;P16671-2"	"Platelet glycoprotein 4"	"CD36"	"CD36"
"CD3EAP"	"O15446;O15446-2"	"DNA-directed RNA polymerase I subunit RPA34"	"CD3EAP"	"CD3EAP"
"CD44"	"P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8;P16070-9;P16070-15"	"CD44 antigen"	"CD44"	"CD44"
"CD47"	"Q08722;Q08722-2;Q08722-3;Q08722-4"	"Leukocyte surface antigen CD47"	"CD47"	"CD47"
"CD59"	"P13987"	"CD59 glycoprotein"	"CD59"	"CD59"
"CD74"	"P04233-2;P04233;P04233-3"	"HLA class II histocompatibility antigen gamma chain"	"CD74"	"CD74"
"CD81"	"P60033"	"CD81 antigen"	"CD81"	"CD81"
"CD82"	"P27701-2;P27701"	"CD82 antigen"	"CD82"	"CD82"
"CD9"	"P21926"	"CD9 antigen"	"CD9"	"CD9"
"CD97"	"P48960-2;P48960-3;P48960"	"CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta"	"CD97"	"CD97"
"CDC16"	"Q13042-3;Q13042-2;Q13042;Q13042-4"	"Cell division cycle protein 16 homolog"	"CDC16"	"CDC16"
"CDC23"	"Q9UJX2;Q9UJX2-3;Q9UJX2-2"	"Cell division cycle protein 23 homolog"	"CDC23"	"CDC23"
"CDC27"	"P30260;P30260-2"	"Cell division cycle protein 27 homolog"	"CDC27"	"CDC27"
"CDC37"	"Q16543"	"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed"	"CDC37"	"CDC37"
"CDC37L1"	"Q7L3B6"	"Hsp90 co-chaperone Cdc37-like 1"	"CDC37L1"	"CDC37L1"
"CDC40"	"O60508"	"Pre-mRNA-processing factor 17"	"CDC40"	"CDC40"
"CDC42"	"P60953;P60953-1;Q9H4E5-2;P17081;Q9H4E5"	"Cell division control protein 42 homolog"	"CDC42"	"CDC42"
"CDC42BPB"	"Q9Y5S2"	"Serine/threonine-protein kinase MRCK beta"	"CDC42BPB"	"CDC42BPB"
"CDC42BPG"	"Q6DT37"	"Serine/threonine-protein kinase MRCK gamma"	"CDC42BPG"	"CDC42BPG"
"CDC42EP1"	"Q00587-2;Q00587"	"Cdc42 effector protein 1"	"CDC42EP1"	"CDC42EP1"
"CDC42EP4"	"Q9H3Q1;Q9H3Q1-2"	"Cdc42 effector protein 4"	"CDC42EP4"	"CDC42EP4"
"CDC5L"	"Q99459"	"Cell division cycle 5-like protein"	"CDC5L"	"CDC5L"
"CDC73"	"Q6P1J9"	"Parafibromin"	"CDC73"	"CDC73"
"CDCP1"	"Q9H5V8;Q9H5V8-2;Q9H5V8-3"	"CUB domain-containing protein 1"	"CDCP1"	"CDCP1"
"CDH1"	"P12830;P12830-2"	"Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3"	"CDH1"	"CDH1"
"CDH13"	"P55290;P55290-4;P55290-5;P55290-3;P55290-2"	"Cadherin-13"	"CDH13"	"CDH13"
"CDH3"	"P22223;P22223-2"	"Cadherin-3"	"CDH3"	"CDH3"
"CDIPT"	"O14735;O14735-3;O14735-2"	"CDP-diacylglycerol--inositol 3-phosphatidyltransferase"	"CDIPT"	"CDIPT"
"CDK1"	"P06493;P06493-2"	"Cyclin-dependent kinase 1"	"CDK1"	"CDK1"
"CDK11B;CDK11A"	"P21127-12;P21127-4;P21127-5;P21127-10;P21127-6;P21127-9;P21127-8;P21127-3;P21127-2;P21127;Q9UQ88-10;Q9UQ88-4;Q9UQ88-3;Q9UQ88-2;Q9UQ88;Q9UQ88-5;Q9UQ88-9;Q9UQ88-8"	"Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A"	"CDK11B;CDK11A"	"CDK11B;CDK11A"
"CDK12"	"Q9NYV4-2;Q9NYV4;Q9NYV4-3"	"Cyclin-dependent kinase 12"	"CDK12"	"CDK12"
"CDK13"	"Q14004-2;Q14004"	"Cyclin-dependent kinase 13"	"CDK13"	"CDK13"
"CDK2"	"P24941-2;P24941"	"Cyclin-dependent kinase 2"	"CDK2"	"CDK2"
"CDK2AP1"	"O14519;O14519-2"	"Cyclin-dependent kinase 2-associated protein 1"	"CDK2AP1"	"CDK2AP1"
"CDK4"	"P11802;P11802-2"	"Cyclin-dependent kinase 4"	"CDK4"	"CDK4"
"CDK5"	"Q00535;Q00535-2"	"Cyclin-dependent-like kinase 5"	"CDK5"	"CDK5"
"CDK5RAP1"	"Q96SZ6-2;Q96SZ6-6;Q96SZ6-3;Q96SZ6;Q96SZ6-5;Q96SZ6-4"	"CDK5 regulatory subunit-associated protein 1"	"CDK5RAP1"	"CDK5RAP1"
"CDK5RAP3"	"Q96JB5;Q96JB5-4;Q96JB5-2;Q96JB5-3"	"CDK5 regulatory subunit-associated protein 3"	"CDK5RAP3"	"CDK5RAP3"
"CDK6"	"Q00534"	"Cyclin-dependent kinase 6"	"CDK6"	"CDK6"
"CDK7"	"P50613;Q9C098"	"Cyclin-dependent kinase 7"	"CDK7"	"CDK7"
"CDK9"	"P50750;P50750-2;Q96Q40-2;Q96Q40-4;Q96Q40-3;Q96Q40"	"Cyclin-dependent kinase 9"	"CDK9"	"CDK9"
"CDKAL1"	"Q5VV42-2;Q5VV42"	"Threonylcarbamoyladenosine tRNA methylthiotransferase"	"CDKAL1"	"CDKAL1"
"CDKN1B"	"P46527"	"Cyclin-dependent kinase inhibitor 1B"	"CDKN1B"	"CDKN1B"
"CDKN2A"	"P42771;P42771-4;P42771-2;P42771-3;P42772"	"Cyclin-dependent kinase inhibitor 2A"	"CDKN2A"	"CDKN2A"
"CDKN2AIP"	"Q9NXV6"	"CDKN2A-interacting protein"	"CDKN2AIP"	"CDKN2AIP"
"CDKN2AIPNL"	"Q96HQ2-2;Q96HQ2"	"CDKN2AIP N-terminal-like protein"	"CDKN2AIPNL"	"CDKN2AIPNL"
"CDKN2C"	"P42773"	"Cyclin-dependent kinase 4 inhibitor C"	"CDKN2C"	"CDKN2C"
"CDS1"	"Q92903"	"Phosphatidate cytidylyltransferase 1"	"CDS1"	"CDS1"
"CDS2"	"O95674"	"Phosphatidate cytidylyltransferase 2"	"CDS2"	"CDS2"
"CDV3"	"Q9UKY7;Q9UKY7-2;Q9UKY7-3"	"Protein CDV3 homolog"	"CDV3"	"CDV3"
"CEACAM1"	"P13688-2;P13688-8;P13688-10;P13688;P13688-3;P13688-4;P13688-11;P13688-9;P13688-6;P13688-5;P13688-7"	"Carcinoembryonic antigen-related cell adhesion molecule 1"	"CEACAM1"	"CEACAM1"
"CEACAM6"	"P40199"	"Carcinoembryonic antigen-related cell adhesion molecule 6"	"CEACAM6"	"CEACAM6"
"CEBPB"	"P17676;P17676-2"	"CCAAT/enhancer-binding protein beta"	"CEBPB"	"CEBPB"
"CEBPD"	"P49716"	"CCAAT/enhancer-binding protein delta"	"CEBPD"	"CEBPD"
"CEBPZ"	"Q03701"	"CCAAT/enhancer-binding protein zeta"	"CEBPZ"	"CEBPZ"
"CECR5"	"Q9BXW7-2;Q9BXW7"	"Cat eye syndrome critical region protein 5"	"CECR5"	"CECR5"
"CELF1"	"Q92879-2;Q92879-3;Q92879-6;Q92879;Q92879-4;Q92879-5"	"CUGBP Elav-like family member 1"	"CELF1"	"CELF1"
"CELF2"	"O95319-5;O95319-2;O95319;O95319-4;O95319-3"	"CUGBP Elav-like family member 2"	"CELF2"	"CELF2"
"CELSR1"	"Q9NYQ6"	"Cadherin EGF LAG seven-pass G-type receptor 1"	"CELSR1"	"CELSR1"
"CEMIP"	"Q8WUJ3;Q8WUJ3-2"	"Cell migration-inducing and hyaluronan-binding protein"	"CEMIP"	"CEMIP"
"CENPB"	"P07199"	"Major centromere autoantigen B"	"CENPB"	"CENPB"
"CENPC"	"Q03188;Q03188-2"	"Centromere protein C"	"CENPC"	"CENPC"
"CENPV"	"Q7Z7K6;Q7Z7K6-2"	"Centromere protein V"	"CENPV"	"CENPV"
"CENPV.1"	"Q7Z7K6-3"	"Centromere protein V"	"CENPV"	"CENPV.1"
"CEP131"	"Q9UPN4-2;Q9UPN4;Q9UPN4-3"	"Centrosomal protein of 131 kDa"	"CEP131"	"CEP131"
"CEP170B"	"Q9Y4F5-3;Q9Y4F5-2;Q9Y4F5"	"Centrosomal protein of 170 kDa protein B"	"CEP170B"	"CEP170B"
"CEP41"	"Q9BYV8-5;Q9BYV8-2;Q9BYV8;Q9BYV8-3"	"Centrosomal protein of 41 kDa"	"CEP41"	"CEP41"
"CEP44"	"Q9C0F1;Q9C0F1-2"	"Centrosomal protein of 44 kDa"	"CEP44"	"CEP44"
"CEPT1"	"Q9Y6K0"	"Choline/ethanolaminephosphotransferase 1"	"CEPT1"	"CEPT1"
"CERS2"	"Q96G23"	"Ceramide synthase 2"	"CERS2"	"CERS2"
"CERS4"	"Q9HA82"	"Ceramide synthase 4"	"CERS4"	"CERS4"
"CERS5"	"Q8N5B7;Q8N5B7-2"	"Ceramide synthase 5"	"CERS5"	"CERS5"
"CERS6"	"Q6ZMG9;Q6ZMG9-2"	"Ceramide synthase 6"	"CERS6"	"CERS6"
"CES1"	"P23141-3;P23141;P23141-2;Q9UKY3;Q9UKY3-2"	"Liver carboxylesterase 1"	"CES1"	"CES1"
"CES2"	"O00748;O00748-2"	"Cocaine esterase"	"CES2"	"CES2"
"CES3"	"Q6UWW8;Q6UWW8-2"	"Carboxylesterase 3"	"CES3"	"CES3"
"CETN2"	"P41208"	"Centrin-2"	"CETN2"	"CETN2"
"CFAP20"	"Q9Y6A4"	"Cilia- and flagella-associated protein 20"	"CFAP20"	"CFAP20"
"CFAP46"	"Q8IYW2"	"Cilia- and flagella-associated protein 46"	"CFAP46"	"CFAP46"
"CFB"	"P00751;P00751-2"	"Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment"	"CFB"	"CFB"
"CFD"	"P00746"	"Complement factor D"	"CFD"	"CFD"
"CFDP1"	"Q9UEE9;Q9UEE9-2"	"Craniofacial development protein 1"	"CFDP1"	"CFDP1"
"CFL1"	"P23528"	"Cofilin-1"	"CFL1"	"CFL1"
"CFL2"	"Q9Y281;Q9Y281-3"	"Cofilin-2"	"CFL2"	"CFL2"
"CGGBP1"	"Q9UFW8"	"CGG triplet repeat-binding protein 1"	"CGGBP1"	"CGGBP1"
"CGN"	"Q9P2M7;Q9P2M7-2"	"Cingulin"	"CGN"	"CGN"
"CGNL1"	"Q0VF96;Q0VF96-2"	"Cingulin-like protein 1"	"CGNL1"	"CGNL1"
"CHAD"	"O15335"	"Chondroadherin"	"CHAD"	"CHAD"
"CHAMP1"	"Q96JM3"	"Chromosome alignment-maintaining phosphoprotein 1"	"CHAMP1"	"CHAMP1"
"CHCHD2;CHCHD2P9"	"Q9Y6H1;Q5T1J5"	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2;Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial"	"CHCHD2;CHCHD2P9"	"CHCHD2;CHCHD2P9"
"CHCHD3"	"Q9NX63"	"MICOS complex subunit MIC19"	"CHCHD3"	"CHCHD3"
"CHCHD4"	"Q8N4Q1;Q8N4Q1-2"	"Mitochondrial intermembrane space import and assembly protein 40"	"CHCHD4"	"CHCHD4"
"CHCHD5"	"Q9BSY4;Q9BSY4-2"	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 5"	"CHCHD5"	"CHCHD5"
"CHCHD6"	"Q9BRQ6"	"MICOS complex subunit MIC25"	"CHCHD6"	"CHCHD6"
"CHD1"	"O14646-2;O14646"	"Chromodomain-helicase-DNA-binding protein 1"	"CHD1"	"CHD1"
"CHD1L"	"Q86WJ1-4;Q86WJ1;Q86WJ1-2;Q86WJ1-3;Q86WJ1-5"	"Chromodomain-helicase-DNA-binding protein 1-like"	"CHD1L"	"CHD1L"
"CHD2"	"O14647-2;O14647;O14647-3"	"Chromodomain-helicase-DNA-binding protein 2"	"CHD2"	"CHD2"
"CHD3"	"Q12873-2;Q12873;Q12873-3"	"Chromodomain-helicase-DNA-binding protein 3"	"CHD3"	"CHD3"
"CHD4"	"Q14839;Q14839-2"	"Chromodomain-helicase-DNA-binding protein 4"	"CHD4"	"CHD4"
"CHD8"	"Q9HCK8;Q9HCK8-2"	"Chromodomain-helicase-DNA-binding protein 8"	"CHD8"	"CHD8"
"CHDH"	"Q8NE62"	"Choline dehydrogenase, mitochondrial"	"CHDH"	"CHDH"
"CHERP"	"Q8IWX8"	"Calcium homeostasis endoplasmic reticulum protein"	"CHERP"	"CHERP"
"CHI3L1"	"P36222"	"Chitinase-3-like protein 1"	"CHI3L1"	"CHI3L1"
"CHI3L2"	"Q15782-6;Q15782;Q15782-5"	"Chitinase-3-like protein 2"	"CHI3L2"	"CHI3L2"
"CHID1"	"Q9BWS9;Q9BWS9-2;Q9BWS9-3"	"Chitinase domain-containing protein 1"	"CHID1"	"CHID1"
"CHKA"	"P35790-2;P35790"	"Choline kinase alpha"	"CHKA"	"CHKA"
"CHKB"	"Q9Y259;Q9Y259-2"	"Choline/ethanolamine kinase"	"CHKB"	"CHKB"
"CHMP1A"	"Q9HD42"	"Charged multivesicular body protein 1a"	"CHMP1A"	"CHMP1A"
"CHMP2A"	"O43633"	"Charged multivesicular body protein 2a"	"CHMP2A"	"CHMP2A"
"CHMP3"	"Q9Y3E7;Q9Y3E7-4;Q9Y3E7-2"	"Charged multivesicular body protein 3"	"CHMP3"	"CHMP3"
"CHMP4A"	"Q9BY43;Q9BY43-2"	"Charged multivesicular body protein 4a"	"CHMP4A"	"CHMP4A"
"CHMP4B"	"Q9H444"	"Charged multivesicular body protein 4b"	"CHMP4B"	"CHMP4B"
"CHMP4C"	"Q96CF2"	"Charged multivesicular body protein 4c"	"CHMP4C"	"CHMP4C"
"CHMP5"	"Q9NZZ3;Q9NZZ3-2"	"Charged multivesicular body protein 5"	"CHMP5"	"CHMP5"
"CHMP6"	"Q96FZ7"	"Charged multivesicular body protein 6"	"CHMP6"	"CHMP6"
"CHMP7"	"Q8WUX9;Q8WUX9-2"	"Charged multivesicular body protein 7"	"CHMP7"	"CHMP7"
"CHORDC1"	"Q9UHD1;Q9UHD1-2"	"Cysteine and histidine-rich domain-containing protein 1"	"CHORDC1"	"CHORDC1"
"CHP1"	"Q99653"	"Calcineurin B homologous protein 1"	"CHP1"	"CHP1"
"CHPF"	"Q8IZ52-4;Q8IZ52;Q8IZ52-2"	"Chondroitin sulfate synthase 2"	"CHPF"	"CHPF"
"CHPT1"	"Q8WUD6;Q8WUD6-2"	"Cholinephosphotransferase 1"	"CHPT1"	"CHPT1"
"CHTF8"	"P0CG12"	"Chromosome transmission fidelity protein 8 homolog isoform 2"	"CHTF8"	"CHTF8"
"CHTOP"	"Q9Y3Y2-4;Q9Y3Y2;Q9Y3Y2-3"	"Chromatin target of PRMT1 protein"	"CHTOP"	"CHTOP"
"CHUK"	"O15111"	"Inhibitor of nuclear factor kappa-B kinase subunit alpha"	"CHUK"	"CHUK"
"CIAO1"	"O76071"	"Probable cytosolic iron-sulfur protein assembly protein CIAO1"	"CIAO1"	"CIAO1"
"CIAPIN1"	"Q6FI81;Q6FI81-3;Q6FI81-2"	"Anamorsin"	"CIAPIN1"	"CIAPIN1"
"CIB1"	"Q99828;Q99828-2"	"Calcium and integrin-binding protein 1"	"CIB1"	"CIB1"
"CIC"	"Q96RK0"	"Protein capicua homolog"	"CIC"	"CIC"
"CIRBP"	"Q14011;Q14011-2"	"Cold-inducible RNA-binding protein"	"CIRBP"	"CIRBP"
"CIRH1A"	"Q969X6;Q969X6-2;Q969X6-3"	"Cirhin"	"CIRH1A"	"CIRH1A"
"CISD1"	"Q9NZ45"	"CDGSH iron-sulfur domain-containing protein 1"	"CISD1"	"CISD1"
"CISD2"	"Q8N5K1"	"CDGSH iron-sulfur domain-containing protein 2"	"CISD2"	"CISD2"
"CIZ1"	"Q9ULV3-5;Q9ULV3-2;Q9ULV3;Q9ULV3-3;Q9ULV3-4"	"Cip1-interacting zinc finger protein"	"CIZ1"	"CIZ1"
"CKAP4"	"Q07065"	"Cytoskeleton-associated protein 4"	"CKAP4"	"CKAP4"
"CKAP5"	"Q14008-2;Q14008;Q14008-3"	"Cytoskeleton-associated protein 5"	"CKAP5"	"CKAP5"
"CKB"	"P12277"	"Creatine kinase B-type"	"CKB"	"CKB"
"CKMT1A"	"P12532;P12532-2;P17540"	"Creatine kinase U-type, mitochondrial"	"CKMT1A"	"CKMT1A"
"CLASP1"	"Q7Z460-2;Q7Z460-4;Q7Z460-5;Q7Z460-3;Q7Z460"	"CLIP-associating protein 1"	"CLASP1"	"CLASP1"
"CLASP2"	"O75122-3"	"CLIP-associating protein 2"	"CLASP2"	"CLASP2"
"CLCC1"	"Q96S66;Q96S66-3;Q96S66-2;Q96S66-4"	"Chloride channel CLIC-like protein 1"	"CLCC1"	"CLCC1"
"CLCN3"	"P51790-4;P51790-5;P51790;P51790-2"	"H(+)/Cl(-) exchange transporter 3"	"CLCN3"	"CLCN3"
"CLDN3"	"O15551"	"Claudin-3"	"CLDN3"	"CLDN3"
"CLEC11A"	"Q9Y240"	"C-type lectin domain family 11 member A"	"CLEC11A"	"CLEC11A"
"CLIC1"	"O00299"	"Chloride intracellular channel protein 1"	"CLIC1"	"CLIC1"
"CLIC4"	"Q9Y696;O15247"	"Chloride intracellular channel protein 4"	"CLIC4"	"CLIC4"
